GEOID_10,TAZ,nid,AM_P,AM_D,AM_Quartile,PM_P,PM_D,PM_Quartile,Nightlife_P,Nightlife_D,Nightlife_Q,MedIncome,p_White,p_NonWhite,p_Workers,p_Drive,p_NoDrive,p_WFH,pd_Workers,pd_Drive,pd_NoDrive,pd_WFH
6075016500,921,0,12.8,10.3,3,18.5,16.1,4,24.2,20.7,4,117156,0.75,0.25,3743,1289,2124,330,0.066,-0.038,0.081,0.599
6075016700,238,5f,6.6,3.5,2,7.5,7,3,7.3,6.9,3,159634,0.816,0.184,3943,1374,2220,349,0.044,-0.054,0.149,-0.107
6075016801,239,5j,4.9,3.4,2,5.1,5.2,2,6.3,6.2,3,103730,0.804,0.196,2512,613,1611,288,0.028,0.025,0.03,0.025
6075016802,249,6b,8.7,5.2,3,11.1,12.2,3,13.2,13.8,4,83672,0.681,0.319,2209,639,1430,140,0.038,-0.006,0.047,0.175
6075016900,564,5j,8.2,6.9,3,6.5,8,3,5.7,7.7,3,104570,0.764,0.236,2047,313,1440,294,0.011,-0.199,0.073,0.007
6075017000,234,5f,9,5.2,3,10.6,11.6,3,10.8,10.8,3,161563,0.859,0.141,2969,1370,1381,218,0.144,0.048,0.277,0.053
6075017101,229,5f,3.2,3.3,2,6.8,7.7,3,7.1,9.6,3,155278,0.893,0.107,2427,855,1344,228,-0.016,-0.222,0.155,0.117
6075017102,228,5f,8.3,5.1,3,9.4,8.6,3,7.9,9.3,3,129792,0.805,0.195,2467,857,1384,226,-0.075,-0.118,-0.025,-0.183
6075017602,296,8a,22.9,25.1,4,33,45.3,4,19,25.9,4,12479,0.307,0.693,1221,173,1014,34,-0.172,0.713,-0.211,-0.607
6075017700,568,9c,22.4,30.8,4,29.5,28.9,4,11.4,12.2,4,104375,0.576,0.424,1176,390,701,85,0.073,0.018,0.166,-0.239
6075017801,665,9g,21.9,21.2,4,13.9,16.7,4,15.6,15.6,4,18930,0.314,0.686,1261,196,841,224,0.221,-0.18,0.339,0.347
6075018000,638,9g,7.6,11.4,3,10.6,8.7,3,7.5,8.4,3,156932,0.555,0.445,1733,313,1198,222,0.01,-0.38,0.269,-0.165
6075020300,561,5j,10.6,7.5,3,23.2,17.8,4,22.7,15.3,4,123099,0.753,0.247,2416,607,1580,229,0.144,0.09,0.169,0.127
6075020401,196,5f,4.5,3.9,2,8,10,3,8.7,11,3,156161,0.778,0.222,2324,1081,945,298,-0.009,-0.096,0.205,-0.185
6075020402,167,4b,4.8,4.7,2,14.6,14.5,3,12.7,13.2,4,105161,0.778,0.222,1662,766,644,252,0.007,0.019,-0.103,0.398
6075020500,202,5g,14.9,11.8,4,27.5,28.9,4,41.1,33.8,4,130000,0.807,0.193,2110,647,1253,210,0.09,-0.041,0.135,0.344
6075020900,129,9a,7.7,5.1,3,8,8.1,3,8.7,7.9,3,83523,0.545,0.455,2977,849,2016,112,0.037,0.132,0.092,-0.591
6075021000,156,5k,6.7,4.2,3,10.1,10.9,3,10.4,9.7,3,113250,0.744,0.256,3459,795,2400,264,0.077,0.017,0.146,-0.214
6075021100,164,5k,6.9,4.4,3,7.9,9.9,3,8.2,10.2,3,153750,0.835,0.165,2593,1092,1047,454,0.067,-0.014,0.06,0.354
6075021200,159,5k,2.7,2.5,2,5.4,4.9,2,4.3,4.8,2,154632,0.833,0.167,1917,1066,629,222,0.006,-0.068,0.083,0.225
6075021300,167,4b,4.8,4.7,2,14.6,14.5,3,12.7,13.2,4,105161,0.778,0.222,1662,766,644,252,0.007,0.019,-0.103,0.398
6075021400,139,5c,8.5,5.4,3,11.8,11.4,3,10.3,9.5,3,148594,0.83,0.17,2406,907,1254,245,0.031,-0.173,0.251,0.042
6075021500,104,5c,6.7,11.1,3,6.1,7.2,2,5.8,6,3,122857,0.806,0.194,3507,1470,1662,375,0.005,-0.04,0.046,0.013
6075021600,457,4b,5.4,5,3,4.1,5.3,2,2.7,4.1,2,138117,0.632,0.368,2763,1393,1056,314,-0.008,0.089,-0.123,0.036
